Year,Event
1896,NEUTRAL
1897,EL NINO
1898,NEUTRAL
1899,NEUTRAL
1900,EL NINO
1901,NEUTRAL
1902,NEUTRAL
1903,EL NINO
1904,LA NINA
1905,NEUTRAL
1906,EL NINO
1907,NEUTRAL
1908,NEUTRAL
1909,LA NINA
1910,LA NINA
1911,LA NINA
1912,NEUTRAL
1913,NEUTRAL
1914,NEUTRAL
1915,EL NINO
1916,NEUTRAL
1917,LA NINA
1918,LA NINA
1919,EL NINO
1920,NEUTRAL
1921,NEUTRAL
1922,NEUTRAL
1923,NEUTRAL
1924,NEUTRAL
1925,LA NINA
1926,EL NINO
1927,NEUTRAL
1928,NEUTRAL
1929,NEUTRAL
1930,NEUTRAL
1931,EL NINO
1932,NEUTRAL
1933,NEUTRAL
1934,LA NINA
1935,NEUTRAL
1936,NEUTRAL
1937,NEUTRAL
1938,NEUTRAL
1939,LA NINA
1940,NEUTRAL
1941,EL NINO
1942,EL NINO
1943,LA NINA
1944,NEUTRAL
1945,NEUTRAL
1946,NEUTRAL
1947,NEUTRAL
1948,NEUTRAL
1949,NEUTRAL
1950,LA NINA
1951,LA NINA
1952,NEUTRAL
1953,NEUTRAL
1954,NEUTRAL
1955,LA NINA
1956,LA NINA
1957,NEUTRAL
1958,EL NINO
1959,NEUTRAL
1960,NEUTRAL
1961,NEUTRAL
1962,LA NINA
1963,NEUTRAL
1964,NEUTRAL
1965,NEUTRAL
1966,EL NINO
1967,NEUTRAL
1968,NEUTRAL
1969,NEUTRAL
1970,NEUTRAL
1971,LA NINA
1972,NEUTRAL
1973,EL NINO
1974,LA NINA
1975,NEUTRAL
1976,LA NINA
1977,NEUTRAL
1978,EL NINO
1979,NEUTRAL
1980,EL NINO
1981,NEUTRAL
1982,NEUTRAL
1983,EL NINO
1984,NEUTRAL
1985,NEUTRAL
1986,NEUTRAL
1987,EL NINO
1988,EL NINO
1989,LA NINA
1990,NEUTRAL
1991,NEUTRAL
1992,EL NINO
1993,NEUTRAL
1994,NEUTRAL
1995,EL NINO
1996,NEUTRAL
1997,NEUTRAL
1998,EL NINO
1999,LA NINA
2000,LA NINA
2001,NEUTRAL
2002,NEUTRAL
2003,EL NINO
2004,NEUTRAL
2005,NEUTRAL
2006,NEUTRAL
2007,EL NINO
2008,LA NINA
2009,NEUTRAL
2010,EL NINO
2011,LA NINA
2012,LA NINA
2013,NEUTRAL
2014,NEUTRAL
2015,NEUTRAL
2016,EL NINO
2017,NEUTRAL
2018,NEUTRAL
2019,NEUTRAL
2020,NEUTRAL
2021,LA NINA
2022,LA NINA
