"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Data Item","Domain","Domain Category","Value","CV (%)"
"SURVEY","2025","APR","","STATE","IOWA","19","","","","","","","00000000","","SOYBEANS","SOYBEANS - PRICE RECEIVED, MEASURED IN $ / BU","TOTAL","NOT SPECIFIED","10.1",""
"SURVEY","2025","AUG","","STATE","IOWA","19","","","","","","","00000000","","SOYBEANS","SOYBEANS - PRICE RECEIVED, MEASURED IN $ / BU","TOTAL","NOT SPECIFIED","9.91",""
"SURVEY","2025","FEB","","STATE","IOWA","19","","","","","","","00000000","","SOYBEANS","SOYBEANS - PRICE RECEIVED, MEASURED IN $ / BU","TOTAL","NOT SPECIFIED","10",""
"SURVEY","2025","JAN","","STATE","IOWA","19","","","","","","","00000000","","SOYBEANS","SOYBEANS - PRICE RECEIVED, MEASURED IN $ / BU","TOTAL","NOT SPECIFIED","9.86",""
"SURVEY","2025","JUL","","STATE","IOWA","19","","","","","","","00000000","","SOYBEANS","SOYBEANS - PRICE RECEIVED, MEASURED IN $ / BU","TOTAL","NOT SPECIFIED","10.2",""
"SURVEY","2025","JUN","","STATE","IOWA","19","","","","","","","00000000","","SOYBEANS","SOYBEANS - PRICE RECEIVED, MEASURED IN $ / BU","TOTAL","NOT SPECIFIED","10.3",""
"SURVEY","2025","MAR","","STATE","IOWA","19","","","","","","","00000000","","SOYBEANS","SOYBEANS - PRICE RECEIVED, MEASURED IN $ / BU","TOTAL","NOT SPECIFIED","10",""
"SURVEY","2025","MAY","","STATE","IOWA","19","","","","","","","00000000","","SOYBEANS","SOYBEANS - PRICE RECEIVED, MEASURED IN $ / BU","TOTAL","NOT SPECIFIED","10.3",""
"SURVEY","2024","APR","","STATE","IOWA","19","","","","","","","00000000","","SOYBEANS","SOYBEANS - PRICE RECEIVED, MEASURED IN $ / BU","TOTAL","NOT SPECIFIED","12.1",""
"SURVEY","2024","AUG","","STATE","IOWA","19","","","","","","","00000000","","SOYBEANS","SOYBEANS - PRICE RECEIVED, MEASURED IN $ / BU","TOTAL","NOT SPECIFIED","10.1",""
"SURVEY","2024","DEC","","STATE","IOWA","19","","","","","","","00000000","","SOYBEANS","SOYBEANS - PRICE RECEIVED, MEASURED IN $ / BU","TOTAL","NOT SPECIFIED","9.67",""
"SURVEY","2024","FEB","","STATE","IOWA","19","","","","","","","00000000","","SOYBEANS","SOYBEANS - PRICE RECEIVED, MEASURED IN $ / BU","TOTAL","NOT SPECIFIED","11.7",""
"SURVEY","2024","JAN","","STATE","IOWA","19","","","","","","","00000000","","SOYBEANS","SOYBEANS - PRICE RECEIVED, MEASURED IN $ / BU","TOTAL","NOT SPECIFIED","12.6",""
"SURVEY","2024","JUL","","STATE","IOWA","19","","","","","","","00000000","","SOYBEANS","SOYBEANS - PRICE RECEIVED, MEASURED IN $ / BU","TOTAL","NOT SPECIFIED","11.2",""
"SURVEY","2024","JUN","","STATE","IOWA","19","","","","","","","00000000","","SOYBEANS","SOYBEANS - PRICE RECEIVED, MEASURED IN $ / BU","TOTAL","NOT SPECIFIED","11.7",""
"SURVEY","2024","MAR","","STATE","IOWA","19","","","","","","","00000000","","SOYBEANS","SOYBEANS - PRICE RECEIVED, MEASURED IN $ / BU","TOTAL","NOT SPECIFIED","11.7",""
"SURVEY","2024","MARKETING YEAR","","STATE","IOWA","19","","","","","","","00000000","","SOYBEANS","SOYBEANS - PRICE RECEIVED, MEASURED IN $ / BU","TOTAL","NOT SPECIFIED","9.95",""
"SURVEY","2024","MAY","","STATE","IOWA","19","","","","","","","00000000","","SOYBEANS","SOYBEANS - PRICE RECEIVED, MEASURED IN $ / BU","TOTAL","NOT SPECIFIED","11.9",""
"SURVEY","2024","NOV","","STATE","IOWA","19","","","","","","","00000000","","SOYBEANS","SOYBEANS - PRICE RECEIVED, MEASURED IN $ / BU","TOTAL","NOT SPECIFIED","9.85",""
"SURVEY","2024","OCT","","STATE","IOWA","19","","","","","","","00000000","","SOYBEANS","SOYBEANS - PRICE RECEIVED, MEASURED IN $ / BU","TOTAL","NOT SPECIFIED","9.82",""
"SURVEY","2024","SEP","","STATE","IOWA","19","","","","","","","00000000","","SOYBEANS","SOYBEANS - PRICE RECEIVED, MEASURED IN $ / BU","TOTAL","NOT SPECIFIED","9.99",""
"SURVEY","2023","APR","","STATE","IOWA","19","","","","","","","00000000","","SOYBEANS","SOYBEANS - PRICE RECEIVED, MEASURED IN $ / BU","TOTAL","NOT SPECIFIED","14.8",""
"SURVEY","2023","AUG","","STATE","IOWA","19","","","","","","","00000000","","SOYBEANS","SOYBEANS - PRICE RECEIVED, MEASURED IN $ / BU","TOTAL","NOT SPECIFIED","14.1",""
"SURVEY","2023","DEC","","STATE","IOWA","19","","","","","","","00000000","","SOYBEANS","SOYBEANS - PRICE RECEIVED, MEASURED IN $ / BU","TOTAL","NOT SPECIFIED","13",""
"SURVEY","2023","FEB","","STATE","IOWA","19","","","","","","","00000000","","SOYBEANS","SOYBEANS - PRICE RECEIVED, MEASURED IN $ / BU","TOTAL","NOT SPECIFIED","15",""
"SURVEY","2023","JAN","","STATE","IOWA","19","","","","","","","00000000","","SOYBEANS","SOYBEANS - PRICE RECEIVED, MEASURED IN $ / BU","TOTAL","NOT SPECIFIED","14.6",""
"SURVEY","2023","JUL","","STATE","IOWA","19","","","","","","","00000000","","SOYBEANS","SOYBEANS - PRICE RECEIVED, MEASURED IN $ / BU","TOTAL","NOT SPECIFIED","14.7",""
"SURVEY","2023","JUN","","STATE","IOWA","19","","","","","","","00000000","","SOYBEANS","SOYBEANS - PRICE RECEIVED, MEASURED IN $ / BU","TOTAL","NOT SPECIFIED","14.2",""
"SURVEY","2023","MAR","","STATE","IOWA","19","","","","","","","00000000","","SOYBEANS","SOYBEANS - PRICE RECEIVED, MEASURED IN $ / BU","TOTAL","NOT SPECIFIED","14.9",""
"SURVEY","2023","MARKETING YEAR","","STATE","IOWA","19","","","","","","","00000000","","SOYBEANS","SOYBEANS - PRICE RECEIVED, MEASURED IN $ / BU","TOTAL","NOT SPECIFIED","12.2",""
"SURVEY","2023","MAY","","STATE","IOWA","19","","","","","","","00000000","","SOYBEANS","SOYBEANS - PRICE RECEIVED, MEASURED IN $ / BU","TOTAL","NOT SPECIFIED","14.5",""
"SURVEY","2023","NOV","","STATE","IOWA","19","","","","","","","00000000","","SOYBEANS","SOYBEANS - PRICE RECEIVED, MEASURED IN $ / BU","TOTAL","NOT SPECIFIED","13.2",""
"SURVEY","2023","OCT","","STATE","IOWA","19","","","","","","","00000000","","SOYBEANS","SOYBEANS - PRICE RECEIVED, MEASURED IN $ / BU","TOTAL","NOT SPECIFIED","12.6",""
"SURVEY","2023","SEP","","STATE","IOWA","19","","","","","","","00000000","","SOYBEANS","SOYBEANS - PRICE RECEIVED, MEASURED IN $ / BU","TOTAL","NOT SPECIFIED","13.1",""
"SURVEY","2022","APR","","STATE","IOWA","19","","","","","","","00000000","","SOYBEANS","SOYBEANS - PRICE RECEIVED, MEASURED IN $ / BU","TOTAL","NOT SPECIFIED","15.4",""
"SURVEY","2022","AUG","","STATE","IOWA","19","","","","","","","00000000","","SOYBEANS","SOYBEANS - PRICE RECEIVED, MEASURED IN $ / BU","TOTAL","NOT SPECIFIED","15.3",""
"SURVEY","2022","DEC","","STATE","IOWA","19","","","","","","","00000000","","SOYBEANS","SOYBEANS - PRICE RECEIVED, MEASURED IN $ / BU","TOTAL","NOT SPECIFIED","14.5",""
"SURVEY","2022","FEB","","STATE","IOWA","19","","","","","","","00000000","","SOYBEANS","SOYBEANS - PRICE RECEIVED, MEASURED IN $ / BU","TOTAL","NOT SPECIFIED","14.5",""
"SURVEY","2022","JAN","","STATE","IOWA","19","","","","","","","00000000","","SOYBEANS","SOYBEANS - PRICE RECEIVED, MEASURED IN $ / BU","TOTAL","NOT SPECIFIED","12.9",""
"SURVEY","2022","JUL","","STATE","IOWA","19","","","","","","","00000000","","SOYBEANS","SOYBEANS - PRICE RECEIVED, MEASURED IN $ / BU","TOTAL","NOT SPECIFIED","15.5",""
"SURVEY","2022","JUN","","STATE","IOWA","19","","","","","","","00000000","","SOYBEANS","SOYBEANS - PRICE RECEIVED, MEASURED IN $ / BU","TOTAL","NOT SPECIFIED","16.2",""
"SURVEY","2022","MAR","","STATE","IOWA","19","","","","","","","00000000","","SOYBEANS","SOYBEANS - PRICE RECEIVED, MEASURED IN $ / BU","TOTAL","NOT SPECIFIED","15",""
"SURVEY","2022","MARKETING YEAR","","STATE","IOWA","19","","","","","","","00000000","","SOYBEANS","SOYBEANS - PRICE RECEIVED, MEASURED IN $ / BU","TOTAL","NOT SPECIFIED","14.2",""
"SURVEY","2022","MAY","","STATE","IOWA","19","","","","","","","00000000","","SOYBEANS","SOYBEANS - PRICE RECEIVED, MEASURED IN $ / BU","TOTAL","NOT SPECIFIED","15.9",""
"SURVEY","2022","NOV","","STATE","IOWA","19","","","","","","","00000000","","SOYBEANS","SOYBEANS - PRICE RECEIVED, MEASURED IN $ / BU","TOTAL","NOT SPECIFIED","14.2",""
"SURVEY","2022","OCT","","STATE","IOWA","19","","","","","","","00000000","","SOYBEANS","SOYBEANS - PRICE RECEIVED, MEASURED IN $ / BU","TOTAL","NOT SPECIFIED","13.4",""
"SURVEY","2022","SEP","","STATE","IOWA","19","","","","","","","00000000","","SOYBEANS","SOYBEANS - PRICE RECEIVED, MEASURED IN $ / BU","TOTAL","NOT SPECIFIED","14.2",""
"SURVEY","2021","APR","","STATE","IOWA","19","","","","","","","00000000","","SOYBEANS","SOYBEANS - PRICE RECEIVED, MEASURED IN $ / BU","TOTAL","NOT SPECIFIED","13.8",""
"SURVEY","2021","AUG","","STATE","IOWA","19","","","","","","","00000000","","SOYBEANS","SOYBEANS - PRICE RECEIVED, MEASURED IN $ / BU","TOTAL","NOT SPECIFIED","13.7",""
"SURVEY","2021","DEC","","STATE","IOWA","19","","","","","","","00000000","","SOYBEANS","SOYBEANS - PRICE RECEIVED, MEASURED IN $ / BU","TOTAL","NOT SPECIFIED","12.5",""
"SURVEY","2021","FEB","","STATE","IOWA","19","","","","","","","00000000","","SOYBEANS","SOYBEANS - PRICE RECEIVED, MEASURED IN $ / BU","TOTAL","NOT SPECIFIED","12.7",""
"SURVEY","2021","JAN","","STATE","IOWA","19","","","","","","","00000000","","SOYBEANS","SOYBEANS - PRICE RECEIVED, MEASURED IN $ / BU","TOTAL","NOT SPECIFIED","11.3",""
"SURVEY","2021","JUL","","STATE","IOWA","19","","","","","","","00000000","","SOYBEANS","SOYBEANS - PRICE RECEIVED, MEASURED IN $ / BU","TOTAL","NOT SPECIFIED","14.4",""
"SURVEY","2021","JUN","","STATE","IOWA","19","","","","","","","00000000","","SOYBEANS","SOYBEANS - PRICE RECEIVED, MEASURED IN $ / BU","TOTAL","NOT SPECIFIED","14.7",""
